CMAES_ACC gen=128 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=129 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=130 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=131 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=132 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=133 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=134 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=135 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=136 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=137 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=138 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=139 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=140 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=141 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=142 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=143 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=144 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=145 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=146 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=147 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=148 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=149 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=150 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=151 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=152 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=153 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=154 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=155 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=156 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=157 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=158 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=159 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=160 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=161 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=162 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=163 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=164 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=165 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=166 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=167 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=168 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=169 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=170 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=171 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=172 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=173 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=174 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=175 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=176 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=177 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=178 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=179 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=180 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=181 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=182 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=183 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=184 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=185 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=186 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=187 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=188 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=189 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=190 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=191 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=192 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=193 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=194 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
